country_id,tournament_id,tournament_name,tournament_url,tournament_stage_id,tournament_template_id,country_name
152,CSDqKt6F,Liga 1,/football/peru/liga-1/,x0DPoNzQ,KrrdAMyI,Peru
152,vgU97KzS,Liga 2,/football/peru/liga-2/,tn3TzcSO,4vsfFjhg,Peru
152,Kl1OGNG0,Copa Bicentenario,/football/peru/copa-bicentenario/,UgX6i49p,fHWIubtn,Peru
152,QyBBZxVN,Copa Peru,/football/peru/copa-peru/,42gM3gNR,C8tKFA7a,Peru
152,tfKm8L8a,Supercopa Peruana,/football/peru/supercopa-peruana/,KbQySOF9,Sxy0lxfk,Peru
152,AJBMHyre,Liga Women,/football/peru/liga-women/,I950HYuH,lQGQhLwq,Peru
158,n7RPVIfJ,Premier League,/football/russia/premier-league/,0UC6tdRa,YacqHHdS,Russia
158,dQxteMnQ,FNL,/football/russia/fnl/,CAqspVXi,jizXHcsM,Russia
158,EsJCk0Am,FNL 2 - Division A Gold,/football/russia/fnl-2-division-a-gold/,p8a6tmXG,UmfIhP4H,Russia
158,jDuTmvu0,FNL 2 - Division A Silver,/football/russia/fnl-2-division-a-silver/,61fuc8Hc,8vgMiqKN,Russia
158,WYeVU9go,FNL 2 - Division B - Group 1,/football/russia/fnl-2-division-b-group-1/,EcIW9o13,jmQikwTd,Russia
158,rRxhx0s4,FNL 2 - Division B - Group 2,/football/russia/fnl-2-division-b-group-2/,OA0McLh2,UwPelcr3,Russia
158,GOhHYHtT,FNL 2 - Division B - Group 3,/football/russia/fnl-2-division-b-group-3/,Gl5PJ2FL,C2E0mHc9,Russia
158,U9a3hadc,FNL 2 - Division B - Group 4,/football/russia/fnl-2-division-b-group-4/,Q78CCK7e,AmX3nyDF,Russia
158,t2AljHeM,Youth League,/football/russia/youth-league/,lIw2btAa,hlzYDy5q,Russia
158,0niLpeJq,Russian Cup,/football/russia/russian-cup/,Ii4yDuPh,WvZyDeKk,Russia
158,jibLcFjb,FNL Cup,/football/russia/fnl-cup/,rkAVmxqS,d61aYe6c,Russia
158,hEF5IKS6,Super Cup,/football/russia/super-cup/,lpSOrvr4,Q1YuCFZe,Russia
158,SrpX4GAF,Supreme Division Women,/football/russia/supreme-division-women/,zVqLydh4,x6m69P3G,Russia
158,QRDDGbcJ,Russia Cup Women,/football/russia/russia-cup-women/,0YxludsT,G4R4bGBP,Russia
158,2grtaY2k,Super Cup Women,/football/russia/super-cup-women/,866Aje7c,GredgAjf,Russia
165,0n9bj0yh,Saudi Professional League,/football/saudi-arabia/saudi-professional-league/,K4QfYeJ8,tUxUbLR2,Saudi Arabia
165,M1c7lv64,Division 1,/football/saudi-arabia/division-1/,tKE3WZmL,8fhFSggG,Saudi Arabia
165,rcMeRCcU,Division 2,/football/saudi-arabia/division-2/,K6uAOybS,GGLmkiK8,Saudi Arabia
165,jVEqlIzH,King Cup,/football/saudi-arabia/king-cup/,GKTsRDBr,rFwwsVIf,Saudi Arabia
165,nc8hnd5T,Super Cup,/football/saudi-arabia/super-cup/,CnNjPite,bgKO4YYS,Saudi Arabia
165,8nfTzk56,Premier League Women,/football/saudi-arabia/premier-league-women/,Sn7KLFNp,4zUaWHWo,Saudi Arabia
195,tEn9KxPE,Premier League,/football/ukraine/premier-league/,ldxRUZwe,Myjs3vp6,Ukraine
195,6RAjkR9N,Persha Liga,/football/ukraine/persha-liga/,IuCL2xin,ShUKWHDG,Ukraine
195,x6REdZW7,Druha Liga,/football/ukraine/druha-liga/,0YGWwvH8,vmlD9csB,Ukraine
195,OllQCYo1,U19 League,/football/ukraine/u19-league/,0xcVleVQ,dYr5gCCr,Ukraine
195,p4xZACGD,Ukrainian Cup,/football/ukraine/ukrainian-cup/,zwC9qZhl,EDRBCKEI,Ukraine
195,joTpce2e,Championship Women,/football/ukraine/championship-women/,nsqawA5S,WGdJC0Oj,Ukraine
201,dYEz5au9,Liga AUF Uruguaya,/football/uruguay/liga-auf-uruguaya/,fexyMpvQ,r9s6zO6P,Uruguay
201,fVPc4wAL,Segunda Division,/football/uruguay/segunda-division/,6BDmr10n,dz4MxG6F,Uruguay
201,jX13oNVN,Copa Uruguay,/football/uruguay/copa-uruguay/,jXh92xTa,ITp5xBAd,Uruguay
201,UHrNsovI,Copa de la Liga AUF,/football/uruguay/copa-de-la-liga-auf/,YqY4fwum,UihCnW1B,Uruguay
201,UVvxaHXr,Super Cup,/football/uruguay/super-cup/,zgYZth63,voTVGsj1,Uruguay
200,tUfctlzI,MLS,/football/usa/mls/,bgQzSI5N,CQv5qrFt,USA
200,QR7aRI3d,USL Championship,/football/usa/usl-championship/,Ykw3nDdd,OjCHtstG,USA
